time,I
0.227,7.00
0.503,382.00
0.776,179.00
1.091,185.00
1.455,11.00
1.736,381.00
2.018,176.00
2.504,10.00
2.783,379.00
3.064,178.00
3.711,12.00
3.990,377.00
4.272,177.00
4.797,9.00
5.123,378.00
5.360,184.00
6.003,7.00
6.328,380.00
6.566,177.00
7.050,11.00
7.380,377.00
7.614,181.00
8.259,9.00
8.581,381.00
8.823,180.00
9.305,7.00
9.627,378.00
9.872,171.00
10.514,11.00
10.834,377.00
11.078,181.00
11.480,8.00
11.805,154.00
12.084,378.00
12.365,177.00
12.768,11.00
13.050,378.00
13.330,172.00
13.815,8.00
14.137,384.00
14.379,173.00
15.103,11.00
15.387,381.00
15.666,172.00
16.150,9.00
16.434,379.00
16.713,181.00
17.320,9.00
17.639,380.00
17.881,174.00
18.365,10.00
18.686,378.00
18.927,178.00
19.572,8.00
19.895,375.00
20.136,182.00
20.620,8.00
20.945,378.00
21.182,172.00
21.826,8.00
22.151,372.00
22.391,180.00
22.873,11.00
23.197,383.00
23.440,175.00
24.162,9.00
24.445,378.00
24.726,186.00
25.129,10.00
25.452,398.00
25.692,179.00
26.417,8.00
26.699,379.00
26.982,184.00
27.385,9.00
27.666,158.00
27.988,378.00
28.229,181.00
28.672,8.00
28.955,373.00
29.236,178.00
29.720,10.00
30.001,382.00
30.285,179.00
30.887,9.00
31.210,368.00
31.451,181.00
31.933,12.00
32.255,392.00
32.498,183.00
33.143,9.00
33.463,365.00
33.705,174.00
34.267,8.00
34.590,379.00
34.832,183.00
35.475,8.00
35.797,369.00
36.043,174.00
36.441,12.00
36.768,124.00
37.045,380.00
37.327,177.00
37.729,11.00
38.011,365.00
38.294,184.00
38.696,7.00
39.018,59.00
39.299,378.00
39.583,180.00
39.985,10.00
40.267,362.00
40.548,174.00
41.031,10.00
41.313,160.00
41.635,379.00
41.877,176.00
42.282,10.00
42.601,366.00
42.841,172.00
43.285,9.00
43.567,155.00
43.891,379.00
44.130,182.00
44.533,9.00
44.855,368.00
45.097,179.00
45.499,10.00
45.824,118.00
