time,yaw,pitch,roll
2019-02-26 13:29:35.5670,-100.43,28.22,-4.64
2019-02-26 13:29:35.5890,-100.18,29.26,-5.7
2019-02-26 13:29:35.6860,-101.0,25.33,-1.34
2019-02-26 13:29:35.7720,-101.58,16.97,1.18
2019-02-26 13:29:35.8780,-100.86,4.44,2.8
2019-02-26 13:29:35.9680,-101.3,-8.72,2.64
2019-02-26 13:29:36.0570,-101.32,-17.96,2.21
2019-02-26 13:29:36.1630,-100.7,-27.45,2.37
2019-02-26 13:29:36.2490,-99.6,-36.47,3.78
2019-02-26 13:29:36.3440,-98.26,-44.31,5.15
2019-02-26 13:29:36.4370,-97.43,-47.43,6.16
2019-02-26 13:29:36.5380,-98.58,-43.87,4.06
2019-02-26 13:29:36.6280,-99.7,-31.84,3.28
2019-02-26 13:29:36.7260,-99.91,-15.75,1.45
2019-02-26 13:29:36.8220,-99.37,-1.43,0.8
2019-02-26 13:29:36.9120,-98.85,11.35,-0.93
2019-02-26 13:29:37.0150,-98.6,21.83,-0.88
2019-02-26 13:29:37.1030,-99.68,29.64,0.95
2019-02-26 13:29:37.1970,-101.04,35.21,2.02
2019-02-26 13:29:37.2970,-101.86,39.15,1.31
2019-02-26 13:29:37.3850,-103.14,40.0,2.53
2019-02-26 13:29:37.4850,-103.48,36.67,3.23
2019-02-26 13:29:37.5890,-103.42,28.32,2.94
2019-02-26 13:29:37.6650,-103.04,17.83,1.58
2019-02-26 13:29:37.7680,-103.33,8.53,1.4
2019-02-26 13:29:37.8650,-103.82,-3.03,0.43
2019-02-26 13:29:37.9640,-104.46,-16.95,-0.45
2019-02-26 13:29:38.0520,-104.09,-29.92,0.15
2019-02-26 13:29:38.1440,-102.2,-40.54,2.68
2019-02-26 13:29:38.2330,-99.66,-48.41,4.95
2019-02-26 13:29:38.3360,-98.26,-50.91,6.09
2019-02-26 13:29:38.4410,-99.89,-45.65,4.51
2019-02-26 13:29:38.5290,-101.36,-31.44,2.76
2019-02-26 13:29:38.6220,-101.38,-14.24,1.4
2019-02-26 13:29:38.7160,-100.83,0.02,-0.73
2019-02-26 13:29:38.8040,-99.98,13.06,-3.11
2019-02-26 13:29:38.9070,-99.36,25.84,-3.96
2019-02-26 13:29:39.0120,-98.37,37.04,-5.88
2019-02-26 13:29:39.1010,-97.47,45.49,-7.39
2019-02-26 13:29:39.1950,-98.99,49.22,-5.91
2019-02-26 13:29:39.2860,-100.84,45.29,-4.05
2019-02-26 13:29:39.3860,-103.32,33.86,-1.22
2019-02-26 13:29:39.4860,-104.15,19.14,0.33
2019-02-26 13:29:39.5760,-104.04,4.86,2.05
2019-02-26 13:29:39.6660,-103.12,-10.4,3.38
2019-02-26 13:29:39.7640,-102.33,-24.12,4.05
2019-02-26 13:29:39.8730,-100.53,-36.78,5.43
2019-02-26 13:29:39.9420,-98.14,-46.66,8.14
2019-02-26 13:29:40.0560,-95.32,-53.48,10.91
2019-02-26 13:29:40.1520,-95.23,-52.43,9.54
2019-02-26 13:29:40.2350,-97.41,-42.32,5.7
2019-02-26 13:29:40.3320,-99.23,-26.22,1.67
2019-02-26 13:29:40.4370,-99.99,-5.08,-3.54
2019-02-26 13:29:40.5120,-99.78,12.71,-6.62
2019-02-26 13:29:40.6170,-98.85,28.06,-9.29
2019-02-26 13:29:40.7210,-99.37,38.28,-9.38
2019-02-26 13:29:40.8080,-99.38,45.91,-9.88
2019-02-26 13:29:40.9010,-99.65,49.19,-9.55
2019-02-26 13:29:41.0020,-100.92,44.68,-7.53
2019-02-26 13:29:41.0970,-102.12,32.88,-7.08
2019-02-26 13:29:41.1860,-104.05,19.0,-5.19
2019-02-26 13:29:41.2920,-105.84,3.75,-5.06
2019-02-26 13:29:41.3800,-107.14,-12.97,-4.17
2019-02-26 13:29:41.4710,-107.13,-26.45,-1.69
2019-02-26 13:29:41.5650,-105.71,-35.84,0.51
